NAME,PRICE,CUISINE_CATEGORY,CITY,REGION,URL,PAGE NO,OUTLET_TYPE,TIMING,REVIEWS,RATING,VOTES
New Maharashtra,500.0,"Chinese,North Indian,Maharashtrian,Malwani,Seafood",Mumbai,Vashi,https://www.zomato.com/mumbai/new-maharashtra-vashi-navi-mumbai/info,555,Casual Dining,11am to 12midnight(Mon-Sun),Good,3.6,86.0
Hotel Golden Cafe,500.0,"North Indian,Chinese,Biryani",Mumbai,Bandra,https://www.zomato.com/mumbai/hotel-golden-cafe-bandra-east/info,555,Quick Bites,8am to 12midnight(Mon-Sun),Average,3.2,11.0
Lama's Corner,300.0,Chinese,Mumbai,Kandivali,https://www.zomato.com/mumbai/lamas-corner-kandivali-west/info,555,Quick Bites,"1130am to 3pm,530pm to 12midnight(Mon-Sun)",Average,3.4,49.0
The Wadapav Cafe,300.0,Street Food,Mumbai,Andheri,https://www.zomato.com/mumbai/the-wadapav-cafe-4-bungalows/info,555,Quick Bites,10am to 10pm(Mon-Sun),Average,3.4,16.0
Say Noodles,500.0,"Chinese,Momos",Mumbai,Panvel,https://www.zomato.com/mumbai/say-noodles-new-panvel-navi-mumbai/info,555,Quick Bites,"12noon to 4pm,6pm to 11pm(Mon,Tue,Fri,Sat...",Good,3.6,197.0
Metro Burger,300.0,Fast Food,Mumbai,Chembur,https://www.zomato.com/mumbai/metro-burger-chembur/info,555,Quick Bites,10am to 11pm(Mon-Sun),Average,3.2,5.0
Famous Pancakes & Bubble Tea,250.0,Desserts,Mumbai,Andheri,https://www.zomato.com/mumbai/famous-pancakes-bubble-tea-1-andheri-lokhandwala/info,555,Food Court,11am to 1130pm(Mon-Sun),Good,3.9,23.0
Ulta Tawa,600.0,North Indian,Mumbai,Goregaon,https://www.zomato.com/mumbai/ulta-tawa-goregaon-west/info,556,Quick Bites,"Closed(Mon),12noon to 3pm,7pm to 12midnight...",Very Good,4.2,159.0
Fort Kochi,400.0,South Indian,Mumbai,Goregaon,https://www.zomato.com/mumbai/fort-kochi-1-goregaon-east/info,556,Quick Bites,11am to 1030pm(Mon-Sun),Good,3.9,44.0
Priti Pure Veg,550.0,"North Indian,South Indian,Fast Food",Mumbai,Dombivali,https://www.zomato.com/mumbai/priti-pure-veg-dombivali-west/info,556,Quick Bites,9am to 1130pm(Mon-Sun),Average,3.3,15.0
Chandu's,200.0,Fast Food,Mumbai,Virar,https://www.zomato.com/mumbai/chandus-virar/info,556,Quick Bites,"930am to 1030pm(Mon-Sat),2pm to 1030pm(Sun)",Good,3.5,27.0
Glaze,250.0,"Desserts,Bakery",Mumbai,Chakala,https://www.zomato.com/mumbai/glaze-chakala/info,556,Dessert Parlor,"1130am to 1030pm(Mon,Tue,Wed,Thu,Sat,Sun)...",Good,3.5,58.0
Mavs Cakes & Bakes,500.0,"Bakery,Fast Food,Desserts",Mumbai,Bandra,https://www.zomato.com/mumbai/mavs-cakes-bakes-hill-road-bandra-west/info,556,Bakery,"Closed(Mon),9am to 9pm(Tue-Fri),830am to 9pm...",Good,3.8,75.0
Budget Meal,350.0,"South Indian,Sandwich,Street Food,Fast Food",Mumbai,Kharghar,https://www.zomato.com/mumbai/budget-meal-kharghar-navi-mumbai/info,556,Quick Bites,8am to 11pm(Mon-Sun),Average,3.2,6.0
Radha Krishna,500.0,"North Indian,South Indian,Chinese,Beverages",Mumbai,Nalasopara,https://www.zomato.com/mumbai/radha-krishna-nalasopara/info,556,Casual Dining,8am to 12midnight(Mon-Sun),Average,3.3,80.0
Priya Restaurant,500.0,"North Indian,Chinese",Mumbai,Dombivali,https://www.zomato.com/mumbai/priya-restaurant-dombivali-east/info,556,Casual Dining,"11am to 3pm,6pm to 12midnight(Mon-Sun)",Good,3.5,212.0
Status Fine Dine,500.0,"North Indian,Chinese",Mumbai,Panvel,https://www.zomato.com/mumbai/status-fine-dine-old-panvel-navi-mumbai/info,556,Casual Dining,"11am to 3pm,7pm to 1130pm(Mon-Sun)",Good,3.5,106.0
